날짜,코스닥,코스피,SP500,나스닥,비트코인,한국기준금리,미국기준금리,매매가_서울
2018-07-01,775.52,"2,295.26","2,816.29","7,671.79","8,735,000",1.5,1.91,573870
2018-08-01,816.97,"2,322.88","2,901.52","8,109.54","7,870,000",1.5,1.91,578331
2018-09-01,822.27,"2,343.07","2,913.98","8,046.35","7,417,000",1.5,1.95,587393
2018-10-01,648.67,"2,029.69","2,711.74","7,305.90","7,162,000",1.5,2.19,590915
2018-11-01,695.76,"2,096.86","2,760.17","7,330.54","4,571,000",1.75,2.2,591704
2018-12-01,675.65,"2,041.04","2,506.85","6,635.28","4,199,000",1.75,2.27,591674
2019-01-01,716.86,"2,204.85","2,704.10","7,281.74","3,774,000",1.75,2.4,648286
2019-02-01,731.25,"2,195.44","2,784.49","7,532.53","4,240,000",1.75,2.4,646174
2019-03-01,729.31,"2,140.67","2,834.40","7,729.32","4,650,000",1.75,2.41,644226
2019-04-01,754.74,"2,203.59","2,945.83","8,095.39","6,124,000",1.75,2.42,642954
2019-05-01,696.47,"2,041.74","2,752.06","7,453.15","10,371,000",1.75,2.39,642329
2019-06-01,690.53,"2,130.62","2,941.76","8,006.24","13,552,000",1.75,2.38,642302
2019-07-01,630.18,"2,024.55","2,980.38","8,175.42","11,968,000",1.5,2.4,643380
2019-08-01,610.55,"1,967.79","2,926.46","7,962.88","11,614,000",1.5,2.13,644713
2019-09-01,621.76,"2,063.05","2,976.74","7,999.33","9,961,000",1.5,2.04,646418
2019-10-01,658.52,"2,083.48","3,037.56","8,292.36","10,698,000",1.25,1.83,650238
2019-11-01,632.99,"2,087.96","3,140.98","8,665.47","8,887,000",1.25,1.55,654481
2019-12-01,669.83,"2,197.67","3,230.78","8,972.60","8,308,000",1.25,1.55,662952
2020-01-01,642.48,"2,119.01","3,225.52","9,150.94","10,780,000",1.25,1.55,688336
2020-02-01,610.73,"1,987.01","2,954.22","8,567.37","10,381,000",1.25,1.58,688898
2020-03-01,569.07,"1,754.64","2,584.59","7,700.10","7,795,000",0.75,0.65,689215
2020-04-01,645.18,"1,947.56","2,912.43","8,889.55","10,473,000",0.75,0.05,688161
2020-05-01,713.68,"2,029.60","3,044.31","9,489.87","11,437,000",0.5,0.05,686807
2020-06-01,737.97,"2,108.33","3,100.29","10,058.76","10,914,000",0.5,0.08,687922
2020-07-01,815.3,"2,249.37","3,271.12","10,745.27","13,408,000",0.5,0.09,693996
2020-08-01,848.24,"2,326.17","3,500.31","11,775.46","13,728,000",0.5,0.1,697028
2020-09-01,848.15,"2,327.89","3,363.00","11,167.68","12,547,000",0.5,0.09,698888
2020-10-01,792.65,"2,267.15","3,269.96","10,911.59","15,620,000",0.5,0.09,699982
2020-11-01,886.11,"2,591.34","3,621.63","12,198.74","21,302,000",0.5,0.09,701083
2020-12-01,968.42,"2,873.47","3,756.07","12,888.28","32,026,000",0.5,0.09,703270
2021-01-01,928.73,"2,976.21","3,714.24","13,070.69","36,355,000",0.5,0.09,706492
2021-02-01,913.94,"3,012.95","3,811.15","13,192.35","51,790,000",0.5,0.08,710849
2021-03-01,956.17,"3,061.42","3,972.89","13,246.87","70,974,000",0.5,0.07,713486
2021-04-01,983.45,"3,147.86","4,181.17","13,962.68","68,075,000",0.5,0.07,716584
2021-05-01,981.78,"3,203.92","4,204.11","13,748.74","43,675,000",0.5,0.06,720354
2021-06-01,"1,029.96","3,296.68","4,297.50","14,503.95","40,685,000",0.5,0.08,727396
2021-07-01,"1,031.14","3,202.32","4,395.26","14,672.68","48,005,000",0.5,0.1,853858
2021-08-01,"1,038.33","3,199.27","4,522.68","15,259.24","55,160,000",0.75,0.09,859959
2021-09-01,"1,003.27","3,068.82","4,307.54","14,448.58","53,473,000",0.75,0.08,867269
2021-10-01,992.33,"2,970.68","4,605.38","15,498.39","72,574,000",0.75,0.08,874121
2021-11-01,965.63,"2,839.01","4,567.00","15,537.69","70,566,000",1,0.08,879357
2021-12-01,"1,033.98","2,977.65","4,766.18","15,644.97","56,641,000",1,0.08,881835
2022-01-01,872.87,"2,663.34","4,515.55","14,239.88","47,219,000",1.25,0.08,882277
2022-02-01,881.07,"2,699.18","4,373.79","13,751.40","52,152,000",1.25,0.08,882062
2022-03-01,944.53,"2,757.65","4,530.41","14,220.52","55,442,000",1.25,0.2,881860
2022-04-01,904.75,"2,695.05","4,131.93","12,334.64","49,239,000",1.5,0.33,882567
2022-05-01,893.36,"2,685.90","4,132.15","12,081.39","39,900,000",1.75,0.77,882164
2022-06-01,745.44,"2,332.64","3,785.38","11,028.74","26,008,000",1.75,1.21,882106
